[u'12', u'ACK', u'1', u'Aarron'],2017-03-28 20:27:41.691220
[u'12', u'ACK', u'1', u'Aarron'],2017-03-28 20:35:49.818193
[u'12', u'ACK', u'1', u'Aarron'],2017-03-28 20:46:39.333059
[u'12', u'ACK', u'3', u'Aarron'],2017-03-28 20:49:09.623820
[u'12', u'ACK', u'1', u'Aarron'],2017-03-28 21:35:59.570827
[u'28', u'ACK', u'6', u'Aarron', u'127.0.0.1', u'61064'],2017-03-28 21:36:08.537600
[u'12', u'ACK', u'1', u'Aarron'],2017-03-28 21:37:43.603958
[u'28', u'ACK', u'6', u'Aarron', u'127.0.0.1', u'61089'],2017-03-28 21:37:56.751070
[u'12', u'ACK', u'8', u'Aarron'],2017-03-28 21:38:41.391344
[u'12', u'ACK', u'1', u'Aarron'],2017-03-28 21:50:05.448823
[u'12', u'ACK', u'3', u'Aarron'],2017-03-28 21:52:09.050644
[u'12', u'ACK', u'1', u'Aarron'],2017-04-02 18:59:21.178721
[u'28', u'ACK', u'6', u'Aarron', u'127.0.0.1', u'58666'],2017-04-02 18:59:37.329384
[u'12', u'ACK', u'4', u'Aarron'],2017-04-05 11:17:03.729617
[u'12', u'ACK', u'4', u'Aarron'],2017-04-05 11:18:02.937615
[u'12', u'ACK', u'1', u'Aarron'],2017-04-11 19:57:56.238016
[u'12', u'ACK', u'1', u'Aarron'],2017-04-11 20:02:56.801560
[u'12', u'ACK', u'1', u'Aarron'],2017-04-11 20:04:24.410658
[u'12', u'ACK', u'1', u'Aarron'],2017-04-11 20:07:09.054040
[u'12', u'ACK', u'1', u'Aarron'],2017-04-11 20:18:24.916351
[u'12', u'ACK', u'1', u'Aarron'],2017-04-11 20:26:41.301362
[u'12', u'ACK', u'1', u'Aarron'],2017-04-11 20:28:36.050312
[u'12', u'ACK', u'1', u'Aarron'],2017-04-11 20:30:21.602420
[u'12', u'ACK', u'1', u'Aarron'],2017-04-11 20:34:43.877116
[u'12', u'ACK', u'1', u'Aarron'],2017-04-11 20:37:22.529637
[u'12', u'ACK', u'1', u'Aarron'],2017-04-11 20:39:23.814951
[u'12', u'ACK', u'1', u'Aarron'],2017-04-11 20:41:14.922413
[u'12', u'ACK', u'1', u'Aarron'],2017-04-11 20:42:00.096649
[u'12', u'ACK', u'1', u'Aarron'],2017-04-11 20:46:17.866264
[u'12', u'ACK', u'1', u'Aarron'],2017-04-12 11:09:03.374577
[u'12', u'ACK', u'1', u'Aarron'],2017-04-12 11:13:41.868112
[u'12', u'ACK', u'1', u'Aarron'],2017-04-12 11:17:57.969279
[u'12', u'ACK', u'3', u'Aarron'],2017-04-12 11:25:24.158354
[u'12', u'ACK', u'1', u'Aarron'],2017-04-12 11:26:07.138133
[u'12', u'ACK', u'1', u'Aarron'],2017-04-12 11:28:40.941738
[u'12', u'ACK', u'1', u'Aarron'],2017-04-12 11:33:24.016704
[u'12', u'ACK', u'1', u'Aarron'],2017-04-12 11:35:59.382370
[u'12', u'ACK', u'1', u'Aarron'],2017-04-12 11:48:24.198292
[u'12', u'ACK', u'1', u'Aarron'],2017-04-12 11:53:57.874327
[u'12', u'ACK', u'1', u'Aarron'],2017-04-16 19:28:49.237543
[u'12', u'ACK', u'1', u'Aarron'],2017-04-19 11:09:14.313642
